NAME,WHAT IT DOES,FUNDING,YEAR FOUNDED,CITY,STATE/PROVINCE,COUNTRY
Abridge,Medical conversation documentation,213000000,2018,Pittsburgh,Pennsylvania,United States
Adept,AI model developer,415000000,2022,San Francisco,California,United States
Anduril Industries,Defense software and hardware,2800000000,2017,Costa Mesa,California,United States
Anthropic,AI model developer,7700000000,2020,San Francisco,California,United States
Anyscale,AI app deployment software,259000000,2019,San Francisco,California,United States
AssemblyAI,Speech transcription tooling provider,115000000,2017,San Francisco,California,United States
Baseten,AI app deployment software,60000000,2019,San Francisco,California,United States
Cerebras Systems,Computer chip maker,720000000,2016,Sunnyvale,California,United States
Character.AI,Consumer chatbot app,193000000,2021,Menlo Park,California,United States
Cleanlab,Error detection for data,30000000,2021,San Francisco,California,United States
Codeium,Coding autocompletion app,93000000,2021,Mountain View,California,United States
Cohere,AI model developer,445000000,2019,Toronto,Ontario,Canada
Cradle,Protein design for drug discovery,33000000,2021,Amsterdam,,Netherlands
Cresta,Call center agent assistance,152000000,2017,Palo Alto,California,United States
Databricks,Data storage and analytics,4000000000,2013,San Francisco,California,United States
DeepL,Language translation service,100000000,2017,Cologne,,Germany
ElevenLabs,Voice generation software,101000000,2022,London,,United Kingdom
Figure AI,Autonomous humanoid robots,754000000,2022,Sunnyvale,California,United States
Glean,Enterprise search engine,360000000,2019,Palo Alto,California,United States
Harvey,AI models for law firms,106000000,2022,San Francisco,California,United States
Hebbia,Enterprise search engine,30000000,2020,New York,New York,United States
Hugging Face,Library for AI models and datasets,395000000,2016,New York,New York,United States
Insitro,Drug discovery and development,643000000,2018,San Francisco,California,United States
Kumo.AI,Data analytics software,37000000,2021,Mountain View,California,United States
LangChain,AI app development tools,35000000,2023,San Francisco,California,United States
Leonardo.AI,Image generation service,31000000,2022,Sydney,,Australia
Midjourney,Image generation service,0,2021,San Francisco,California,United States
Mistral AI,Open-source AI model research,528000000,2023,Paris,,France
Notion,Productivity software,330000000,2013,San Francisco,California,United States
OpenAI,AI model developer,11300000000,2015,San Francisco,California,United States
Owkin,Drug discovery and development,304000000,2016,New York,New York,United States
Perplexity,General purpose search app,102000000,2022,San Francisco,California,United States
Photoroom,Photo editing app,64000000,2019,Paris,,France
Pika,Video generation service,55000000,2023,Palo Alto,California,United States
Pinecone,Database software,138000000,2019,New York,New York,United States
Replicate,AI app deployment software,60000000,2019,San Francisco,California,United States
Rosebud AI,Video game design software,10000000,2019,San Francisco,California,United States
Runway,Image and video editing software,237000000,2018,New York,New York,United States
Sana,Enterprise learning and search,82000000,2016,Stockholm,,Sweden
Scale AI,Data labeling and software,600000000,2016,San Francisco,California,United States
Sierra,Customer service software,110000000,2023,San Francisco,California,United States
Synthesia,AI avatar and video generator,157000000,2017,London,,United Kingdom
Together AI,AI model development tools,229000000,2022,San Francisco,California,United States
Tome,Presentation creation software,81000000,2020,San Francisco,California,United States
Tractian,Industrial machine maintenance,65000000,2019,Atlanta,Georgia,United States
Unstructured,AI app development tools,65000000,2022,Sacramento,California,United States
Vannevar Labs,Defense intelligence software,87000000,2019,Palo Alto,California,United States
Waabi,Autonomous trucking technology,84000000,2021,Toronto,Ontario,Canada
Weaviate,Database software,68000000,2019,Amsterdam,,Netherlands
Writer,Enterprise generative AI software,126000000,2020,San Francisco,California,United States
